"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"DTS_VL1218";"0";"160";"8";"18.96"
"DTS_VL1218";"1";"160";"8";"18.96"
"DTS_VL1218";"2";"160";"12";"18.96"
"DTS_VL1218";"3";"160";"10";"18.96"
"DTS_VL1218";"4";"160";"13";"18.96"
"DTS_VL1218";"5";"160";"14";"18.96"
"DTS_VL1218";"6";"160";"12";"18.96"
"DTS_VL1218";"7";"160";"20";"18.96"
"DTS_VL1218";"8";"160";"15";"18.96"
"DTS_VL1218";"9";"160";"3";"18.96"
"DTS_VL1218";"10";"160";"11";"18.96"
"DTS_VL1218";"11";"160";"10";"18.96"
"DTS_VL1218";"12";"160";"10";"18.96"
"DTS_VL1218";"13";"160";"8";"18.96"
"DTS_VL1218";"14";"160";"12";"18.96"
"DTS_VL1218";"15";"160";"10";"18.96"
"DTS_VL1218";"16";"160";"13";"18.96"
"DTS_VL1218";"17";"160";"14";"18.96"
"DTS_VL1218";"18";"160";"12";"18.96"
"DTS_VL1218";"19";"160";"20";"18.96"
"DTS_VL1218";"20";"160";"15";"18.96"
"DTS_VL1218";"21";"160";"3";"18.96"
"DTS_VL1218";"22";"160";"11";"18.96"
"DTS_VL1218";"23";"160";"10";"18.96"
"DTS_VL1218";"24";"160";"10";"18.96"
"DTS_VL1218";"25";"160";"8";"18.96"
"DTS_VL1218";"26";"160";"12";"18.96"
"DTS_VL1218";"27";"160";"10";"18.96"
"DTS_VL1218";"28";"160";"13";"18.96"
"DTS_VL1218";"29";"160";"14";"18.96"
"DTS_VL1218";"30";"160";"12";"18.96"
"DTS_VL1218";"31";"160";"20";"18.96"
"DTS_VL1218";"32";"160";"15";"18.96"
"DTS_VL1218";"33";"160";"3";"18.96"
"DTS_VL1218";"34";"160";"11";"18.96"
"DTS_VL1218";"35";"160";"10";"18.96"
"DTS_VL1218";"36";"160";"10";"18.96"
"DTS_VL1218";"37";"159";"4";"20.06"
"DTS_VL1218";"38";"159";"7";"20.06"
"DTS_VL1218";"39";"159";"10";"20.06"
"DTS_VL1218";"40";"159";"12";"20.06"
"DTS_VL1218";"41";"159";"15";"20.06"
"DTS_VL1218";"42";"159";"13";"20.06"
"DTS_VL1218";"43";"159";"16";"20.06"
"DTS_VL1218";"44";"159";"12";"20.06"
"DTS_VL1218";"45";"159";"4";"20.06"
"DTS_VL1218";"46";"159";"5";"20.06"
"DTS_VL1218";"47";"159";"10";"20.06"
"DTS_VL1218";"48";"159";"8";"20.06"
"DTS_VL1218";"49";"151";"7";"21.02"
"DTS_VL1218";"50";"151";"7";"21.02"
"DTS_VL1218";"51";"151";"10";"21.02"
"DTS_VL1218";"52";"151";"14";"21.02"
"DTS_VL1218";"53";"151";"10";"21.02"
"DTS_VL1218";"54";"151";"13";"21.02"
"DTS_VL1218";"55";"151";"15";"21.02"
"DTS_VL1218";"56";"151";"15";"21.02"
"DTS_VL1218";"57";"151";"1";"21.02"
"DTS_VL1218";"58";"151";"10";"21.02"
"DTS_VL1218";"59";"151";"6";"21.02"
"DTS_VL1218";"60";"151";"12";"21.02"
"DTS_VL1218";"61";"143";"9";"20.22"
"DTS_VL1218";"62";"143";"8";"20.22"
"DTS_VL1218";"63";"143";"14";"20.22"
"DTS_VL1218";"64";"143";"13";"20.22"
"DTS_VL1218";"65";"143";"14";"20.22"
"DTS_VL1218";"66";"143";"16";"20.22"
"DTS_VL1218";"67";"143";"15";"20.22"
"DTS_VL1218";"68";"143";"17";"20.22"
"DTS_VL1218";"69";"143";"11";"20.22"
"DTS_VL1218";"70";"143";"0";"20.22"
"DTS_VL1218";"71";"143";"11";"20.22"
"DTS_VL1218";"72";"143";"9";"20.22"
"DTS_VL1218";"73";"142";"1";"19.35"
"DTS_VL1218";"74";"142";"7";"19.35"
"DTS_VL1218";"75";"142";"13";"19.35"
"DTS_VL1218";"76";"142";"9";"19.35"
