"fleet_segment";"Month";"PRODUCTION";"Unit"
"DTS_VL1218";"0";"5899";"kg"
"DTS_VL1218";"1";"5899";"kg"
"DTS_VL1218";"2";"5874";"kg"
"DTS_VL1218";"3";"9730";"kg"
"DTS_VL1218";"4";"5634";"kg"
"DTS_VL1218";"5";"7748";"kg"
"DTS_VL1218";"6";"12870";"kg"
"DTS_VL1218";"7";"14403";"kg"
"DTS_VL1218";"8";"21801";"kg"
"DTS_VL1218";"9";"12797";"kg"
"DTS_VL1218";"10";"46251";"kg"
"DTS_VL1218";"11";"25471";"kg"
"DTS_VL1218";"12";"12119";"kg"
"DTS_VL1218";"13";"9761";"kg"
"DTS_VL1218";"14";"5961";"kg"
"DTS_VL1218";"15";"9447";"kg"
"DTS_VL1218";"16";"8044";"kg"
"DTS_VL1218";"17";"11096";"kg"
"DTS_VL1218";"18";"7996";"kg"
"DTS_VL1218";"19";"15572";"kg"
"DTS_VL1218";"20";"19660";"kg"
"DTS_VL1218";"21";"13910";"kg"
"DTS_VL1218";"22";"27605";"kg"
"DTS_VL1218";"23";"16924";"kg"
"DTS_VL1218";"24";"10029";"kg"
"DTS_VL1218";"25";"3220";"kg"
"DTS_VL1218";"26";"4378";"kg"
"DTS_VL1218";"27";"3970";"kg"
"DTS_VL1218";"28";"3762";"kg"
"DTS_VL1218";"29";"6480";"kg"
"DTS_VL1218";"30";"3070";"kg"
"DTS_VL1218";"31";"6260";"kg"
"DTS_VL1218";"32";"15037";"kg"
"DTS_VL1218";"33";"81";"kg"
"DTS_VL1218";"34";"27776";"kg"
"DTS_VL1218";"35";"17527";"kg"
"DTS_VL1218";"36";"9154";"kg"
"DTS_VL1218";"37";"1706";"kg"
"DTS_VL1218";"38";"3392";"kg"
"DTS_VL1218";"39";"1538";"kg"
"DTS_VL1218";"40";"3561";"kg"
"DTS_VL1218";"41";"5537";"kg"
"DTS_VL1218";"42";"2085";"kg"
"DTS_VL1218";"43";"9990";"kg"
"DTS_VL1218";"44";"13291";"kg"
"DTS_VL1218";"45";"3615";"kg"
"DTS_VL1218";"46";"12171";"kg"
"DTS_VL1218";"47";"14967";"kg"
"DTS_VL1218";"48";"10560";"kg"
"DTS_VL1218";"49";"3653";"kg"
"DTS_VL1218";"50";"3214";"kg"
"DTS_VL1218";"51";"6652";"kg"
"DTS_VL1218";"52";"6888";"kg"
"DTS_VL1218";"53";"7354";"kg"
"DTS_VL1218";"54";"8811";"kg"
"DTS_VL1218";"55";"6518";"kg"
"DTS_VL1218";"56";"8953";"kg"
"DTS_VL1218";"57";"322";"kg"
"DTS_VL1218";"58";"12022";"kg"
"DTS_VL1218";"59";"6932";"kg"
"DTS_VL1218";"60";"9673";"kg"
"DTS_VL1218";"61";"4469";"kg"
"DTS_VL1218";"62";"5568";"kg"
"DTS_VL1218";"63";"6451";"kg"
"DTS_VL1218";"64";"3058";"kg"
"DTS_VL1218";"65";"6173";"kg"
"DTS_VL1218";"66";"8725";"kg"
"DTS_VL1218";"67";"6072";"kg"
"DTS_VL1218";"68";"12079";"kg"
"DTS_VL1218";"69";"12866";"kg"
"DTS_VL1218";"70";"803";"kg"
"DTS_VL1218";"71";"8783";"kg"
"DTS_VL1218";"72";"5127";"kg"
"DTS_VL1218";"73";"2001";"kg"
"DTS_VL1218";"74";"5628";"kg"
"DTS_VL1218";"75";"5119";"kg"
"DTS_VL1218";"76";"4875";"kg"
"DTS_VL1218";"77";"6587";"kg"
"DTS_VL1218";"78";"4751";"kg"
"DTS_VL1218";"79";"11506";"kg"
"DTS_VL1218";"80";"8980";"kg"
"DTS_VL1218";"81";"1876";"kg"
"DTS_VL1218";"82";"41375";"kg"
"DTS_VL1218";"83";"12340";"kg"
"DTS_VL1218";"84";"6776";"kg"
"DTS_VL1218";"85";"12870";"kg"
"DTS_VL1218";"86";"15495";"kg"
"DTS_VL1218";"87";"8961";"kg"
"DTS_VL1218";"88";"5967";"kg"
"DTS_VL1218";"89";"3574";"kg"
"DTS_VL1218";"90";"5279";"kg"
"DTS_VL1218";"91";"1065";"kg"
"DTS_VL1218";"92";"13141";"kg"
"DTS_VL1218";"93";"13139";"kg"
"DTS_VL1218";"94";"1190";"kg"
"DTS_VL1218";"95";"8015";"kg"
"DTS_VL1218";"96";"21289";"kg"
"DTS_VL1218";"97";"23897";"kg"
"DTS_VL1218";"98";"22081";"kg"
"DTS_VL1218";"99";"15318";"kg"
"DTS_VL1218";"100";"17691";"kg"
"DTS_VL1218";"101";"14080";"kg"
"DTS_VL1218";"102";"11881";"kg"
"DTS_VL1218";"103";"12539";"kg"
"DTS_VL1218";"104";"18205";"kg"
"DTS_VL1218";"105";"14774";"kg"
"DTS_VL1218";"106";"18852";"kg"
"DTS_VL1218";"107";"23514";"kg"
"DTS_VL1218";"108";"16364";"kg"
"DTS_VL1218";"109";"13612";"kg"
"DTS_VL1218";"110";"15087";"kg"
"DTS_VL1218";"111";"18061";"kg"
"DTS_VL1218";"112";"21296";"kg"
"DTS_VL1218";"113";"21084";"kg"
"DTS_VL1218";"114";"11355";"kg"
"DTS_VL1218";"115";"21229";"kg"
"DTS_VL1218";"116";"15034";"kg"
"DTS_VL1218";"117";"9322";"kg"
"DTS_VL1218";"118";"16235";"kg"
"DTS_VL1218";"119";"30591";"kg"
"DTS_VL1218";"120";"26587";"kg"
"DTS_VL1218";"121";"13836";"kg"
"DTS_VL1218";"122";"12927";"kg"
"DTS_VL1218";"123";"11560";"kg"
"DTS_VL1218";"124";"14406";"kg"
"DTS_VL1218";"125";"16388";"kg"
"DTS_VL1218";"126";"17500";"kg"
"DTS_VL1218";"127";"18070";"kg"
"DTS_VL1218";"128";"15514";"kg"
"DTS_VL1218";"129";"8685";"kg"
"DTS_VL1218";"130";"14994";"kg"
"DTS_VL1218";"131";"20585";"kg"
